time             32300000 | observedSignal: 0098e7 | desiredSignal: 016f41 | filterOut_out1: 7ffea5a75 | filterError_signal1: 000e8ba9 | filterWeights_oldCoeff: 0004ba65 | stepSize: 00009
time             33000000 | observedSignal: 00259a | desiredSignal: ff9787 | filterOut_out1: 7ffda43d7 | filterError_signal1: 000dd5cb | filterWeights_oldCoeff: 0004a306 | stepSize: 00009
time             33700000 | observedSignal: fe5b07 | desiredSignal: fd1505 | filterOut_out1: 0000b419b | filterError_signal1: 7ffc081f | filterWeights_oldCoeff: 0004b59d | stepSize: 00008
time             34400000 | observedSignal: 024d20 | desiredSignal: ffa09a | filterOut_out1: 7ffea6aa0 | filterError_signal1: 7fea017e | filterWeights_oldCoeff: 0004b44c | stepSize: 00008
time             35100000 | observedSignal: fc6173 | desiredSignal: fa80da | filterOut_out1: 0004cba65 | filterError_signal1: 7ff8392a | filterWeights_oldCoeff: 0004fca6 | stepSize: 00006
time             35800000 | observedSignal: 03fbb3 | desiredSignal: 00dae1 | filterOut_out1: 7ffa60efd | filterError_signal1: 7fd9a5e1 | filterWeights_oldCoeff: 0004d8d5 | stepSize: 00005
time             36500000 | observedSignal: fd06b8 | desiredSignal: fc5632 | filterOut_out1: 000851e12 | filterError_signal1: 7ffe8527 | filterWeights_oldCoeff: 0005a90e | stepSize: 00004
time             37200000 | observedSignal: 019305 | desiredSignal: 00b5e6 | filterOut_out1: 7ffbe9363 | filterError_signal1: 7fe6c85a | filterWeights_oldCoeff: 0005a196 | stepSize: 00004
time             37900000 | observedSignal: febcc1 | desiredSignal: ff8a6b | filterOut_out1: 00023c47a | filterError_signal1: 000372e9 | filterWeights_oldCoeff: 0005ec94 | stepSize: 00004
time             38600000 | observedSignal: ffb509 | desiredSignal: 0169e4 | filterOut_out1: 7ffdbd9d7 | filterError_signal1: 7ffe95bb | filterWeights_oldCoeff: 0005f1fd | stepSize: 00004
time             39300000 | observedSignal: fd8adf | desiredSignal: ff9830 | filterOut_out1: 0000e0a1c | filterError_signal1: 000a6e7f | filterWeights_oldCoeff: 0005f3cd | stepSize: 00004
time             40000000 | observedSignal: 030b88 | desiredSignal: 04ca1c | filterOut_out1: 7ffc8faae | filterError_signal1: 000031d6 | filterWeights_oldCoeff: 0005f0c0 | stepSize: 00003
time             40700000 | observedSignal: fd87dd | desiredSignal: 00204b | filterOut_out1: 0003f1b2f | filterError_signal1: 00225f2e | filterWeights_oldCoeff: 0005f04a | stepSize: 00004
time             41400000 | observedSignal: 010eda | desiredSignal: 0196b3 | filterOut_out1: 7ffb9492d | filterError_signal1: 00056dc6 | filterWeights_oldCoeff: 00063eb2 | stepSize: 00004
time             42100000 | observedSignal: ff6dfd | desiredSignal: ff4996 | filterOut_out1: 000155018 | filterError_signal1: 000b6097 | filterWeights_oldCoeff: 00063158 | stepSize: 00004
time             42800000 | observedSignal: 009674 | desiredSignal: ff7893 | filterOut_out1: 7fff8d37d | filterError_signal1: 7ffabf79 | filterWeights_oldCoeff: 00063d60 | stepSize: 00004
time             43500000 | observedSignal: 010c7f | desiredSignal: ff04b7 | filterOut_out1: 00009078f | filterError_signal1: 7ffb3420 | filterWeights_oldCoeff: 00064063 | stepSize: 00004
time             44200000 | observedSignal: 004b49 | desiredSignal: fe2eba | filterOut_out1: 0001d2923 | filterError_signal1: 7ff65326 | filterWeights_oldCoeff: 00063d8e | stepSize: 00005
time             44900000 | observedSignal: ff1b33 | desiredSignal: fcda56 | filterOut_out1: 7fff330bb | filterError_signal1: 7ff242c5 | filterWeights_oldCoeff: 00063364 | stepSize: 00005
time             45600000 | observedSignal: 01929c | desiredSignal: ffa27a | filterOut_out1: 7ffff903e | filterError_signal1: 7fe6d9ad | filterWeights_oldCoeff: 00062e56 | stepSize: 00006
time             46300000 | observedSignal: fced7f | desiredSignal: fcae15 | filterOut_out1: 0004bbe5c | filterError_signal1: 7ff857eb | filterWeights_oldCoeff: 00064a6e | stepSize: 00007
time             47000000 | observedSignal: 01cbea | desiredSignal: 017d13 | filterOut_out1: 7ff7ea6fa | filterError_signal1: 7fed8639 | filterWeights_oldCoeff: 00063857 | stepSize: 00008
time             47700000 | observedSignal: ff7131 | desiredSignal: 0129f6 | filterOut_out1: 00085f6c2 | filterError_signal1: 0003892c | filterWeights_oldCoeff: 00069bb5 | stepSize: 00008
time             48400000 | observedSignal: 00d51d | desiredSignal: 031bcc | filterOut_out1: 7ffc65b37 | filterError_signal1: 000ce9fd | filterWeights_oldCoeff: 0006a865 | stepSize: 00008
time             49100000 | observedSignal: ff8290 | desiredSignal: 020503 | filterOut_out1: 000095cad | filterError_signal1: 00184896 | filterWeights_oldCoeff: 000699fe | stepSize: 00008
time             49800000 | observedSignal: 01b43d | desiredSignal: 03e5af | filterOut_out1: 7ffd924e6 | filterError_signal1: 001295ca | filterWeights_oldCoeff: 0006c26b | stepSize: 00009
time             50500000 | observedSignal: fdf874 | desiredSignal: ffe90c | filterOut_out1: 0004d9beb | filterError_signal1: 001a53ba | filterWeights_oldCoeff: 0006b036 | stepSize: 0000a
time             51200000 | observedSignal: 018295 | desiredSignal: 018584 | filterOut_out1: 7ff73dd03 | filterError_signal1: 00080a90 | filterWeights_oldCoeff: 0007151f | stepSize: 0000c
time             51900000 | observedSignal: fe9e99 | desiredSignal: fe2359 | filterOut_out1: 0006553f8 | filterError_signal1: 0005d6e1 | filterWeights_oldCoeff: 0006ec57 | stepSize: 0000c
time             52600000 | observedSignal: ff5c09 | desiredSignal: fd6e91 | filterOut_out1: 7ffa380a3 | filterError_signal1: 7ff6e2be | filterWeights_oldCoeff: 000706c4 | stepSize: 0000b
time             53300000 | observedSignal: ffcc2e | desiredSignal: fd0620 | filterOut_out1: 00026e779 | filterError_signal1: 7fe90611 | filterWeights_oldCoeff: 00072c83 | stepSize: 0000c
time             54000000 | observedSignal: 00d087 | desiredSignal: fe4764 | filterOut_out1: 7fff9f1c9 | filterError_signal1: 7fe891e4 | filterWeights_oldCoeff: 000754fb | stepSize: 0000c
